headline,abstract,pub_date,web_url,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
The State Fair.; THIRD DAY.,"The arrangement of all the articles entered for Exhibition at the Fair, and the designation and completion of the various committees for the examination of them preparatory to reports upon their comparative excellencies, were finished yesterday forenoon.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/the-state-fair-third-day.html,,,,,
The Southern Mail--Naval Intelligence. &c.,,1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/the-southern-mailnaval-intelligence-c.html,,,,,
DIED.,"Suddenly, yesterday morning, JOHN H. POTTS, in the 45th year of his age. The members of the New-York Typographical Society and the craft generally, the Whitchall Benevolent Association, and the friends of the family, are invited to attend the funeral, from his late residence, No. 6 Varick-street, on Wednesday morning, at 8 o'clock precisely. His remains will be taken to Trenton for intermen.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/died.html,,,,,
"TOPICS OF THE DAY,","The Courier and Enquirer discusses the punishment of death for murder, in connection with the recent execution of Stockey. It says: The right to take life in punishment for murder is the highest of all social prerogatives, and its exercise is the most awful of civil procedures.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/topics-of-the-day.html,,,,,
FROM CALIFORNIA.; One Day Later.,"By the arrival of the Cherokee, we have received dates from San Francisco to the 16th August--one day later. There were eleven days before the elections. Both parties were about to hold their Conventions.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/from-california-one-day-later.html,,,,,
LATER FROM CUBA.; Arrival of the Cherokee--More Americans Captured--Quiet Restored.,"The U. S. Mail steamship Cherokee, Capt. WINDLE, arrived at this port yesterday afternoon, from Havana on the 17th inst. The news is not important. The island was perfectly quiet, and the prospects of business were improving.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/later-from-cuba-arrival-of-the-cherokeemore-americans-capturedquiet.html,,,,,
The Catholics in Great Britain.,Catholics in England,1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/the-catholics-in-great-britain.html,,,,,
WILLIAMSBURG.; THE NEW SAVINGS BANK,"THE NEW SAVINGS BANK.--This Bank which has only been in operation some three weeks, was established under the most favorable auspices, and from appearances the people have every confidence in it. Already their deposits amount to about $22, 000, and are rapidly increasing every day, and we anticipate for it a large business.  ",1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/williamsburg-the-new-savings-bank.html,,,,,
"LATEST INTELLIGENCE; From Wahington--Population of South Carolina--The President's Health, &c.",,1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/latest-intelligence-from-wahingtonpopulation-of-south-carolinathe.html,,,,,
Article 7 -- No Title,Letter accepting nomination as Gov. of Mass,1851-09-23 05:00:00+00:00,https://www.nytimes.com/1851/09/23/archives/article-7-no-title.html,,,,,
"NEW-YORK CITY.; AMUSEMENTS THIS EVENING. JENNY LIND IN OPERA. MISS HAYES'S CONERT. THE STEAMERS. ANOTHER PROBABLE MURDER. THE NEW-HAVEN RAILROAD ACCIDENT. FELL FROM A NEW BUILDING. A SERIOUS VEHICLE ACCIDENT. TO MARINERS. FIRE IN HOUSTON-STREET. FIRE IN THE FIRST DISTRICT. FIRE FROM CAMPHENE. FIRE IN A CARPENETER'S SHOP. FATHER MATTHEW.- ARRIVAL OF EASTERN FIREMEN. EXCURSION OF HOSE COMPANY NO. 3. INJURED BY A FALL. ROBBING A CAP MANUFACTORY CAPTURE OF A FUGITIVE FROM BUFFALO. ARREST OF AN ACCOMPLICE IN THE RECENT ROBBRY AND ARSON CASE. ROBBING A COUNTRYMAN. U.S. DISTRICT COURT--Wednesday.. COURT CALENDER--Thursday--U. S. BROOKLYN. LAYING THE CORNER STONE OF METHODIST EPISCOPAL CHURCH, No. 8. VISITING FIREMEN. MILITARY. THE WASHINGTON CONTINENTALS. TEMPERANCE MEETING. SECOND CONGREGATIONAL CHURCH, BRIDGE-STREET.--Rev. N. H. Eggleston, from New-Haven, ACCIDENT. KINGS COUNTY BOARD OF SUPERVISORS. CITY COURT.",,1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/newyork-city-amusements-this-evening-jenny-lind-in-opera-miss.html,,,,,
"An Appeal to the American Public, in Behalf of the Very Rev. Father Mathew.",Mr Clay's tribute to,1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/an-appeal-to-the-american-public-in-behalf-of-the-very-rev-father.html,"Clay, Henry",,,,
The English Ecclesiastical Titles Bill.,"In your remarks, to-day, upon the Ecclesiastical Titles Bill, recently passed in England, it is evident you are ignorant of its purport. It does not declare the office of a Catholic bishop or Cardinal illegal, or nullify marriages performed by Catholic priests.  ",1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/the-english-ecclesiastical-titles-bill.html,,,,,
SPECIAL NOTICES.,,1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/special-notices.html,,,,,
Article 4 -- No Title,,1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/article-4-no-title.html,,,,,
The Yacht America.,,1851-09-25 05:00:00+00:00,https://www.nytimes.com/1851/09/25/archives/the-yacht-america.html,,,,,
Article 9 -- No Title,"OUR CANADIAN GUESTS have mostly left the city for their homes. A very few, however, yet remain for the purpose of seeing all the ""notions"" and other matters of interest about our city. Yesterday, a party of architects and engineers from Toronto, visited the station-houses of the various railways in the city.  ",1851-09-26 05:00:00+00:00,https://www.nytimes.com/1851/09/26/archives/article-9-no-title.html,,,,,
Satte Tax for the Support of Schools.,"From The Albany Evening Journal. The following is the Apportionment by the State Superintendent of the sum of $800,000, directed to be raised on the Real and Personal Property of the State by the ""Act for the Establishment of Free Schools throughout the State,"" passed in April last;  ",1851-09-26 05:00:00+00:00,https://www.nytimes.com/1851/09/26/archives/satte-tax-for-the-support-of-schools.html,,,,,
FINANCIAL.,,1851-09-26 05:00:00+00:00,https://www.nytimes.com/1851/09/26/archives/financial.html,,,,,
Sunbury and Eric Railroad Convention.,"The Convention for the proposed' Sunbury and Eric Railroad, met at Sanson-sreet Hall, this morning. A large number of the most influential businessn men of the city were present, together with a great many from the interior of the State.  ",1851-09-26 05:00:00+00:00,https://www.nytimes.com/1851/09/26/archives/sunbury-and-eric-railroad-convention.html,,,,,
