abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
"It was a long antipodean night. While there’s no telling what’s a reflection of national taste and what’s the result of booking expediency, each of the concerts from Australia, Japan and China certainly had its own character.",https://artsbeat.blogs.nytimes.com/2007/07/07/live-earth-crooners-and-a-supersonic-speed-machine-in-australia-china-and-japan/,,"It was a long antipodean night. While there’s no telling what’s a reflection of national taste and what’s the result of booking expediency, each of the concerts from Australia, Japan and China certainly had its own character.",,,The New York Times,[],"{'main': 'Live Earth: Earnest Crooners and a “Supersonic Speed Machine” in Australia, China and Japan', 'kicker': 'ArtsBeat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 14:46:20+00:00,article,Culture,Arts,"{'original': 'By Jon Pareles', 'person': [{'firstname': 'Jon', 'middlename': None, 'lastname': 'Pareles', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,nyt://article/dc8d1540-88b3-5dae-adf5-0c63331661c6,266,nyt://article/dc8d1540-88b3-5dae-adf5-0c63331661c6,
,https://artsbeat.blogs.nytimes.com/2007/07/07/live-earth-shakira-shakira/,,,,,The New York Times,[],"{'main': 'Live Earth: Shakira, Shakira', 'kicker': 'ArtsBeat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 14:46:54+00:00,article,Culture,Arts,"{'original': 'By The New York Times', 'person': [], 'organization': 'The New York Times'}",News,nyt://article/b039fda4-16b2-53b8-a2f3-776769121aa8,1,nyt://article/b039fda4-16b2-53b8-a2f3-776769121aa8,
A record-breaking heat wave in the Southwest is pushing northward. ,https://www.nytimes.com/slideshow/2007/07/07/us/20070707_HEAT_SLIDESHOW_index.html,A record-breaking heat wave in the Southwest is pushing northward. ,A record-breaking heat wave in the Southwest is pushing northward. ,,,The New York Times,"[{'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/07/07/us/07heat.751.jpg', 'height': 75, 'width': 75, 'subType': 'thumbnail', 'crop_name': 'thumbStandard', 'legacy': {'thumbnail': 'images/2007/07/07/us/07heat.751.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}}]","{'main': 'Heat Wave', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 15:06:00+00:00,multimedia,U.S.,U.S.,"{'original': '', 'person': [], 'organization': None}",Slideshow,nyt://slideshow/8b5c9614-934d-5c5d-8eaa-ed82084d6f95,0,nyt://slideshow/8b5c9614-934d-5c5d-8eaa-ed82084d6f95,
,https://artsbeat.blogs.nytimes.com/2007/07/07/live-earth-music-fans-around-the-world/,,,,,The New York Times,[],"{'main': 'Live Earth: Rocking Out Around the World', 'kicker': 'ArtsBeat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 15:12:39+00:00,article,Culture,Arts,"{'original': 'By The New York Times', 'person': [], 'organization': 'The New York Times'}",News,nyt://article/72ffe88c-b5f0-5ae2-b75a-7703f834fccc,1,nyt://article/72ffe88c-b5f0-5ae2-b75a-7703f834fccc,
"The Lewis Hamilton effect is felt everywhere. When I left the paddock last night after 10:30 PM – when I took the photo below to provide another view of the new McLaren motor home, as promised – it took 25 minutes to drive back to my hotel in Northampton. When I returned to the track this morning shortly after 8:00 AM, it took an hour and a half. The Hamilton phenomenon is living up to expectation. ",https://rendezvous.blogs.nytimes.com/2007/07/07/hamilton-hamilton-hamilton/,,"The Lewis Hamilton effect is felt everywhere. When I left the paddock last night after 10:30 PM – when I took the photo below to provide another view of the new McLaren motor home, as promised – it took 25 minutes to drive back to my hotel in Northampton. When I returned to the track this morning shortly after 8:00 AM, it took an hour and a half. The Hamilton phenomenon is living up to expectation. ",,,The New York Times,[],"{'main': 'Hamilton, Hamilton, Hamilton', 'kicker': 'IHT Rendezvous', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 15:48:45+00:00,article,,World,"{'original': 'By Brad Spurgeon', 'person': [{'firstname': 'Brad', 'middlename': None, 'lastname': 'Spurgeon', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,nyt://article/bb779c34-63d5-5daf-8dc9-fe048156b7ec,391,nyt://article/bb779c34-63d5-5daf-8dc9-fe048156b7ec,
"England started its Live Earth concert at Wembley Stadium with an international drum tattoo: rockers at their kits, Scotsmen in kilts, Brazilian and Japanese and African drums. Then the show went decidedly British, mixing bombast, yearning and self-pity. The latest Genesis reunion did it with fast fingers and prog-rock intricacy; its all-purpose complaint about the state of the world, “Land of Confusion,” was still germane. ",https://artsbeat.blogs.nytimes.com/2007/07/07/live-earth-genesis-and-duran-duran-in-london/,,"England started its Live Earth concert at Wembley Stadium with an international drum tattoo: rockers at their kits, Scotsmen in kilts, Brazilian and Japanese and African drums. Then the show went decidedly British, mixing bombast, yearning and self-pity. The latest Genesis reunion did it with fast fingers and prog-rock intricacy; its all-purpose complaint about the state of the world, “Land of Confusion,” was still germane. ",,,The New York Times,[],"{'main': 'Live Earth: Genesis and Duran Duran in London', 'kicker': 'ArtsBeat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 16:35:51+00:00,article,Culture,Arts,"{'original': 'By The New York Times', 'person': [], 'organization': 'The New York Times'}",News,nyt://article/7657a3a4-046a-5cdf-9b6a-f57fd614b4af,293,nyt://article/7657a3a4-046a-5cdf-9b6a-f57fd614b4af,
"The Sam’s Army ratings polls reflect the general disappointment with the Nats at the Copa América, but they also show that a handful of players impressed the fans who pay the closest attention.",https://goal.blogs.nytimes.com/2007/07/07/rating-the-us-players-at-the-copa/,"The Sam’s Army ratings polls reflect the general disappointment with the Nats at the Copa América, but they also show that a handful of players impressed the fans who pay the closest attention.","The ratings polls are in from Sam’s Army, the traveling supporters of the US national team. The average ratings below reflect the general disappointment with the Nats at the Copa América, but they also show that a handful of players impressed the fans who pay the closest attention.",,,The New York Times,[],"{'main': 'Rating the U.S. Players at the Copa', 'kicker': 'Goal', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 16:36:01+00:00,article,,Sports,"{'original': 'By The New York Times', 'person': [], 'organization': 'The New York Times'}",News,nyt://article/f12672a6-a0ac-53ed-be81-381c807df65e,117,nyt://article/f12672a6-a0ac-53ed-be81-381c807df65e,Soccer
The government has until Monday to protect the redacted names of baseball players who were supplied performance-enhancing drugs by a former Mets clubhouse attendant.,https://www.nytimes.com/2007/07/07/sports/baseball/07redact.html,The government has until Monday to protect the redacted names of baseball players who were supplied performance-enhancing drugs by a former Mets clubhouse attendant.,"The federal government is expected to file papers in federal court Monday in an effort to protect the redacted names of baseball players who were supplied performance-enhancing drugs by Kirk Radomski, a former Mets clubhouse attendant.",,,The New York Times,[],"{'main': 'Government Expected to Try to Protect Names in Radomski Case', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 16:43:00+00:00,article,Sports,Sports,"{'original': 'By Michael S. Schmidt', 'person': [{'firstname': 'Michael', 'middlename': 'S.', 'lastname': 'Schmidt', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,nyt://article/8e70ce64-cd61-5c55-bcd9-3aa911a3d6f6,249,nyt://article/8e70ce64-cd61-5c55-bcd9-3aa911a3d6f6,Baseball
"In Mexico there are no licensing or registration requirements for real estate agents, which means your bartender in the nightclub might show up as your agent the next day. Anyone can represent themselves as an agent. While rare, stories abound of unscrupulous or simply under-prepared agents fouling up deals. ",https://raisingtheroof.blogs.nytimes.com/2007/07/07/mexico-rules/,,"In Mexico there are no licensing or registration requirements for real estate agents, which means your bartender in the nightclub might show up as your agent the next day. Anyone can represent themselves as an agent. While rare, stories abound of unscrupulous or simply under-prepared agents fouling up deals. ",,,The New York Times,[],"{'main': 'Mexico Rules', 'kicker': 'Raising the Roof', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 18:12:54+00:00,article,,Real Estate,"{'original': 'By Kevin Brass', 'person': [{'firstname': 'Kevin', 'middlename': None, 'lastname': 'Brass', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News,nyt://article/0397554e-6637-5027-93fb-c82e6b0f456e,316,nyt://article/0397554e-6637-5027-93fb-c82e6b0f456e,
,https://artsbeat.blogs.nytimes.com/2007/07/07/live-earth-country-in-the-capitol/,,,,,The New York Times,[],"{'main': 'Live Earth: Country in the Capitol', 'kicker': 'ArtsBeat', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",[],2007-07-07 18:34:57+00:00,article,Culture,Arts,"{'original': 'By The New York Times', 'person': [], 'organization': 'The New York Times'}",News,nyt://article/21bf032c-6b5a-5be3-b817-9d934626c184,1,nyt://article/21bf032c-6b5a-5be3-b817-9d934626c184,
